,date_local,time_local,sample_measurement
0,2023-01-06,00:00,7.0
1,2023-01-12,00:00,5.8
2,2023-01-18,00:00,9.3
3,2023-01-24,00:00,3.7
4,2023-01-30,00:00,2.5
5,2023-02-05,00:00,17.8
6,2023-02-11,00:00,8.5
7,2023-02-17,00:00,3.8
8,2023-02-23,00:00,2.2
9,2023-03-01,00:00,2.2
10,2023-03-07,00:00,5.7
11,2023-03-13,00:00,11.3
12,2023-03-19,00:00,7.9
13,2023-03-25,00:00,8.6
14,2023-03-31,00:00,7.2
15,2023-04-06,00:00,8.7
16,2023-04-12,00:00,21.8
17,2023-04-18,00:00,10.2
18,2023-04-24,00:00,15.7
19,2023-04-30,00:00,17.5
20,2023-05-06,00:00,5.1
21,2023-05-12,00:00,14.7
22,2023-05-18,00:00,15.2
23,2023-05-24,00:00,5.0
24,2023-05-30,00:00,5.6
25,2023-06-05,00:00,8.0
26,2023-06-11,00:00,3.2
27,2023-06-17,00:00,11.1
28,2023-06-23,00:00,8.4
29,2023-06-29,00:00,11.0
30,2023-07-05,00:00,74.4
31,2023-07-11,00:00,13.3
32,2023-07-17,00:00,13.9
33,2023-07-23,00:00,15.5
34,2023-07-29,00:00,15.9
35,2023-08-04,00:00,12.3
36,2023-08-10,00:00,9.1
37,2023-08-16,00:00,9.3
38,2023-08-22,00:00,8.1
39,2023-08-28,00:00,13.8
40,2023-09-03,00:00,6.9
41,2023-09-09,00:00,12.5
42,2023-09-15,00:00,15.8
43,2023-09-21,00:00,14.3
44,2023-09-27,00:00,15.8
0,2022-02-10,00:00,4.0
1,2022-02-22,00:00,6.4
2,2022-03-24,00:00,10.1
3,2022-12-31,00:00,6.2
4,2022-05-11,00:00,
5,2022-01-05,00:00,18.9
6,2022-01-11,00:00,3.0
7,2022-01-17,00:00,17.6
8,2022-01-23,00:00,3.1
9,2022-01-29,00:00,6.0
10,2022-02-04,00:00,5.9
11,2022-02-16,00:00,5.7
12,2022-02-28,00:00,3.6
13,2022-03-06,00:00,9.1
14,2022-03-12,00:00,7.6
15,2022-03-18,00:00,12.5
16,2022-03-30,00:00,11.9
17,2022-04-05,00:00,20.5
18,2022-04-11,00:00,15.4
19,2022-04-17,00:00,8.5
20,2022-04-23,00:00,5.7
21,2022-04-29,00:00,19.6
22,2022-05-05,00:00,14.6
23,2022-05-17,00:00,16.4
24,2022-05-23,00:00,
25,2022-05-29,00:00,7.2
26,2022-06-04,00:00,11.2
27,2022-06-10,00:00,13.0
28,2022-06-16,00:00,15.5
29,2022-06-22,00:00,13.3
30,2022-06-28,00:00,
31,2022-07-04,00:00,
32,2022-07-10,00:00,
33,2022-07-16,00:00,14.0
34,2022-07-22,00:00,11.2
35,2022-07-28,00:00,8.4
36,2022-08-03,00:00,9.3
37,2022-08-09,00:00,8.6
38,2022-08-15,00:00,13.5
39,2022-08-21,00:00,10.5
40,2022-08-27,00:00,7.0
41,2022-09-02,00:00,13.1
42,2022-09-08,00:00,13.2
43,2022-09-14,00:00,11.7
44,2022-09-20,00:00,4.3
45,2022-09-26,00:00,11.1
46,2022-10-02,00:00,10.2
47,2022-10-08,00:00,16.0
48,2022-10-14,00:00,29.5
49,2022-10-20,00:00,7.4
50,2022-10-26,00:00,11.1
51,2022-11-01,00:00,13.0
52,2022-11-07,00:00,6.6
53,2022-11-13,00:00,14.2
54,2022-11-19,00:00,4.1
55,2022-11-25,00:00,10.7
56,2022-12-01,00:00,5.2
57,2022-12-07,00:00,10.4
58,2022-12-13,00:00,11.0
59,2022-12-19,00:00,17.6
60,2022-12-25,00:00,10.4
365,2021-01-04,00:00,29.3
366,2021-01-10,00:00,7.2
367,2021-01-16,00:00,6.7
368,2021-01-22,00:00,8.5
369,2021-01-28,00:00,7.5
370,2021-02-03,00:00,12.1
371,2021-02-09,00:00,26.6
372,2021-02-15,00:00,13.1
373,2021-02-21,00:00,2.6
374,2021-02-27,00:00,15.5
375,2021-03-05,00:00,9.8
376,2021-03-11,00:00,1.7
377,2021-03-17,00:00,10.8
378,2021-03-23,00:00,10.0
379,2021-03-29,00:00,10.2
380,2021-04-04,00:00,
381,2021-04-10,00:00,18.4
382,2021-04-16,00:00,
383,2021-04-17,00:00,17.3
384,2021-04-22,00:00,8.5
385,2021-04-28,00:00,6.4
386,2021-05-04,00:00,17.0
387,2021-05-10,00:00,12.2
388,2021-05-16,00:00,3.6
389,2021-05-22,00:00,10.5
390,2021-05-28,00:00,13.8
391,2021-06-03,00:00,11.2
392,2021-06-09,00:00,12.6
393,2021-06-15,00:00,14.3
394,2021-06-21,00:00,10.7
395,2021-06-27,00:00,15.3
396,2021-07-03,00:00,11.5
397,2021-07-09,00:00,13.3
398,2021-07-15,00:00,7.5
399,2021-07-21,00:00,13.0
400,2021-07-27,00:00,10.4
401,2021-08-02,00:00,9.2
402,2021-08-08,00:00,10.9
403,2021-08-14,00:00,9.6
404,2021-08-20,00:00,7.6
405,2021-08-26,00:00,20.8
406,2021-09-01,00:00,13.4
407,2021-09-07,00:00,15.1
408,2021-09-13,00:00,12.0
409,2021-09-19,00:00,13.3
410,2021-09-25,00:00,14.3
411,2021-10-01,00:00,8.9
412,2021-10-07,00:00,16.6
413,2021-10-13,00:00,10.3
414,2021-10-19,00:00,6.6
415,2021-10-25,00:00,10.2
416,2021-10-31,00:00,29.9
417,2021-11-06,00:00,40.0
418,2021-11-12,00:00,2.7
419,2021-11-18,00:00,36.9
420,2021-11-24,00:00,8.9
421,2021-11-30,00:00,12.7
422,2021-12-06,00:00,44.4
423,2021-12-12,00:00,19.7
424,2021-12-18,00:00,6.3
425,2021-12-24,00:00,10.6
426,2021-12-30,00:00,7.0
366,2020-01-04,00:00,23.9
367,2020-01-10,00:00,13.1
368,2020-01-16,00:00,25.5
369,2020-01-22,00:00,16.9
370,2020-01-28,00:00,9.5
371,2020-02-03,00:00,3.4
372,2020-02-09,00:00,10.9
373,2020-02-15,00:00,20.2
374,2020-02-21,00:00,8.9
375,2020-02-27,00:00,5.8
376,2020-03-04,00:00,11.4
377,2020-03-10,00:00,
378,2020-03-16,00:00,
379,2020-03-18,00:00,6.5
380,2020-03-22,00:00,3.9
381,2020-03-28,00:00,12.5
382,2020-04-03,00:00,11.6
383,2020-04-09,00:00,2.0
384,2020-04-15,00:00,6.7
385,2020-04-21,00:00,
386,2020-04-22,00:00,10.2
387,2020-04-27,00:00,12.1
388,2020-05-03,00:00,10.6
389,2020-05-09,00:00,18.1
390,2020-05-15,00:00,9.2
391,2020-05-21,00:00,9.0
392,2020-05-27,00:00,12.8
393,2020-06-02,00:00,11.3
394,2020-06-08,00:00,8.4
395,2020-06-14,00:00,10.0
396,2020-06-20,00:00,13.2
397,2020-06-26,00:00,9.1
398,2020-07-02,00:00,9.0
399,2020-07-08,00:00,14.7
400,2020-07-14,00:00,12.1
401,2020-07-20,00:00,9.2
402,2020-07-26,00:00,11.3
403,2020-08-01,00:00,13.3
404,2020-08-07,00:00,9.1
405,2020-08-13,00:00,10.6
406,2020-08-19,00:00,17.5
407,2020-08-25,00:00,10.7
408,2020-08-31,00:00,11.3
409,2020-09-06,00:00,16.9
410,2020-09-12,00:00,60.0
411,2020-09-18,00:00,20.2
412,2020-09-24,00:00,16.7
413,2020-09-30,00:00,
414,2020-10-06,00:00,
415,2020-10-08,00:00,25.0
416,2020-10-12,00:00,13.5
417,2020-10-15,00:00,21.5
418,2020-10-18,00:00,18.5
419,2020-10-24,00:00,
420,2020-10-30,00:00,19.9
421,2020-11-02,00:00,20.0
422,2020-11-05,00:00,11.5
423,2020-11-11,00:00,
424,2020-11-14,00:00,26.4
425,2020-11-17,00:00,11.2
426,2020-11-23,00:00,25.5
427,2020-11-29,00:00,8.9
428,2020-12-05,00:00,30.3
429,2020-12-11,00:00,19.9
430,2020-12-17,00:00,11.2
431,2020-12-23,00:00,
